prop,candidate,n,n_dates,cand_logloss,cand_brier,cand_ece,cand_auc,market_logloss,market_brier,market_ece,market_auc,logloss_delta_vs_market,brier_delta_vs_market,advances,status
reb,C3_isotonic,914,25.0,0.7340423838237646,0.25023120614582334,0.02606997218797365,0.48446481845303063,0.6856868282076664,0.24628604620878625,0.050689149868981806,0.5625045477697738,0.04835555561609828,0.0039451599370370904,False,EVALUATED
reb,C4_blend,914,25.0,0.6824441313591252,0.24471620803923083,0.0385349992239079,0.5561473719954402,0.6856868282076664,0.24628604620878625,0.050689149868981806,0.5625045477697738,-0.003242696848541171,-0.0015698381695554153,True,EVALUATED
reb,C5_role_blend,914,25.0,0.6964323904437274,0.2493112216091534,0.0323452732990235,0.5538310412573674,0.6856868282076664,0.24628604620878625,0.050689149868981806,0.5625045477697738,0.010745562236061046,0.003025175400367147,False,EVALUATED
reb,C6_market_residual,914,25.0,0.6830652777331517,0.2451193910441128,0.03690968024935618,0.547391399257804,0.6856868282076664,0.24628604620878625,0.050689149868981806,0.5625045477697738,-0.0026215504745146223,-0.001166655164673458,True,EVALUATED
ast,C0_identity,548,25.0,0.8421782096703982,0.2743410406024885,0.16580168304310094,0.5616427216047709,0.6952849960944726,0.2510662154519754,0.05330962559603457,0.5138113309840066,0.14689321357592566,0.0232748251505131,False,EVALUATED
ast,C1_platt,548,25.0,0.6986009939730008,0.2521866136684365,0.029322172985344657,0.4169829222011385,0.6952849960944726,0.2510662154519754,0.05330962559603457,0.5138113309840066,0.0033159978785282096,0.0011203982164610937,False,EVALUATED
ast,C2_beta,548,25.0,0.6933882757888773,0.24712290799037065,0.038080019821997275,0.5540390349688262,0.6952849960944726,0.2510662154519754,0.05330962559603457,0.5138113309840066,-0.0018967203055952897,-0.003943307461604734,True,EVALUATED
ast,C3_isotonic,548,25.0,0.7002655289768037,0.25225443471786896,0.07377623311535836,0.5260775277853076,0.6952849960944726,0.2510662154519754,0.05330962559603457,0.5138113309840066,0.0049805328823311346,0.0011882192658935753,False,EVALUATED
ast,C4_blend,548,25.0,0.6888214111262775,0.24761301789258894,0.029492945285855124,0.5290458118731364,0.6952849960944726,0.2510662154519754,0.05330962559603457,0.5138113309840066,-0.006463584968195102,-0.003453197559386445,True,EVALUATED
ast,C5_role_blend,548,25.0,0.694255573115535,0.24994809677453414,0.0506620071250565,0.5316752507454594,0.6952849960944726,0.2510662154519754,0.05330962559603457,0.5138113309840066,-0.0010294229789375997,-0.0011181186774412433,True,EVALUATED
ast,C6_market_residual,548,25.0,0.699512028455049,0.25265844510117297,0.020850619168892914,0.4161290322580645,0.6952849960944726,0.2510662154519754,0.05330962559603457,0.5138113309840066,0.0042270323605764215,0.0015922296491975851,False,EVALUATED
fg3m,C0_identity,603,25.0,0.7808408775310859,0.2523866211351869,0.15432293421956583,0.563443153060268,0.6821873097779138,0.24457575906959894,0.09971501960297324,0.5504791920517387,0.09865356775317213,0.0078108620655879535,False,EVALUATED
fg3m,C1_platt,603,25.0,0.6678794651561172,0.23728312502012733,0.025020990714052522,0.45067485237604277,0.6821873097779138,0.24457575906959894,0.09971501960297324,0.5504791920517387,-0.014307844621796573,-0.0072926340494716135,True,EVALUATED
fg3m,C2_beta,603,25.0,0.6602476583614469,0.23341031661992584,0.11840474719726801,0.5457517105633143,0.6821873097779138,0.24457575906959894,0.09971501960297324,0.5504791920517387,-0.02193965141646681,-0.011165442449673102,True,EVALUATED
fg3m,C3_isotonic,603,25.0,0.6712732351029908,0.23935132109245708,0.10717484805242006,0.4893089792857812,0.6821873097779138,0.24457575906959894,0.09971501960297324,0.5504791920517387,-0.010914074674923002,-0.005224437977141866,True,EVALUATED
fg3m,C4_blend,603,25.0,0.6679988781123668,0.2362185957548024,0.12989602725999738,0.5561088199456368,0.6821873097779138,0.24457575906959894,0.09971501960297324,0.5504791920517387,-0.014188431665546952,-0.00835716331479655,False,EVALUATED
fg3m,C5_role_blend,603,25.0,0.6698113684097152,0.2356025517621489,0.10751179976888102,0.5540643452994658,0.6821873097779138,0.24457575906959894,0.09971501960297324,0.5504791920517387,-0.012375941368198529,-0.008973207307450048,True,EVALUATED
fg3m,C6_market_residual,603,25.0,0.6660744602968909,0.23609332243514322,0.052080548221399105,0.5237252788452527,0.6821873097779138,0.24457575906959894,0.09971501960297324,0.5504791920517387,-0.016112849481022873,-0.00848243663445572,True,EVALUATED
stl,-,0,,,,,,,,,,,,,NO_EXACT_QUOTES
blk,-,0,,,,,,,,,,,,,NO_EXACT_QUOTES
turnover,-,0,,,,,,,,,,,,,NO_EXACT_QUOTES
