gameId,season,reason
1022100142,2021,season_not_in_canonical_box(2025-2026 only)
1022100143,2021,season_not_in_canonical_box(2025-2026 only)
1022100144,2021,season_not_in_canonical_box(2025-2026 only)
1022100145,2021,season_not_in_canonical_box(2025-2026 only)
1022100146,2021,season_not_in_canonical_box(2025-2026 only)
1022100147,2021,season_not_in_canonical_box(2025-2026 only)
1022100148,2021,season_not_in_canonical_box(2025-2026 only)
1022100149,2021,season_not_in_canonical_box(2025-2026 only)
1022100150,2021,season_not_in_canonical_box(2025-2026 only)
1022100151,2021,season_not_in_canonical_box(2025-2026 only)
1022100152,2021,season_not_in_canonical_box(2025-2026 only)
1022100153,2021,season_not_in_canonical_box(2025-2026 only)
1022100154,2021,season_not_in_canonical_box(2025-2026 only)
1022100155,2021,season_not_in_canonical_box(2025-2026 only)
1022100156,2021,season_not_in_canonical_box(2025-2026 only)
1022100157,2021,season_not_in_canonical_box(2025-2026 only)
1022100158,2021,season_not_in_canonical_box(2025-2026 only)
1022100159,2021,season_not_in_canonical_box(2025-2026 only)
1022100160,2021,season_not_in_canonical_box(2025-2026 only)
1022100161,2021,season_not_in_canonical_box(2025-2026 only)
1022100162,2021,season_not_in_canonical_box(2025-2026 only)
1022100163,2021,season_not_in_canonical_box(2025-2026 only)
1022100164,2021,season_not_in_canonical_box(2025-2026 only)
1022100165,2021,season_not_in_canonical_box(2025-2026 only)
1022100166,2021,season_not_in_canonical_box(2025-2026 only)
1022100167,2021,season_not_in_canonical_box(2025-2026 only)
1022100168,2021,season_not_in_canonical_box(2025-2026 only)
1022100169,2021,season_not_in_canonical_box(2025-2026 only)
1022100170,2021,season_not_in_canonical_box(2025-2026 only)
1022100171,2021,season_not_in_canonical_box(2025-2026 only)
1022100172,2021,season_not_in_canonical_box(2025-2026 only)
1022100173,2021,season_not_in_canonical_box(2025-2026 only)
1022100174,2021,season_not_in_canonical_box(2025-2026 only)
1022100175,2021,season_not_in_canonical_box(2025-2026 only)
1022100176,2021,season_not_in_canonical_box(2025-2026 only)
1022100177,2021,season_not_in_canonical_box(2025-2026 only)
1022100178,2021,season_not_in_canonical_box(2025-2026 only)
1022100179,2021,season_not_in_canonical_box(2025-2026 only)
1022100180,2021,season_not_in_canonical_box(2025-2026 only)
1022100181,2021,season_not_in_canonical_box(2025-2026 only)
1022100182,2021,season_not_in_canonical_box(2025-2026 only)
1022100183,2021,season_not_in_canonical_box(2025-2026 only)
1022100184,2021,season_not_in_canonical_box(2025-2026 only)
1022100185,2021,season_not_in_canonical_box(2025-2026 only)
1022100186,2021,season_not_in_canonical_box(2025-2026 only)
1022100187,2021,season_not_in_canonical_box(2025-2026 only)
1022100188,2021,season_not_in_canonical_box(2025-2026 only)
1022100189,2021,season_not_in_canonical_box(2025-2026 only)
1022100190,2021,season_not_in_canonical_box(2025-2026 only)
1022100191,2021,season_not_in_canonical_box(2025-2026 only)
1022100192,2021,season_not_in_canonical_box(2025-2026 only)
1022200001,2022,season_not_in_canonical_box(2025-2026 only)
1022200002,2022,season_not_in_canonical_box(2025-2026 only)
1022200003,2022,season_not_in_canonical_box(2025-2026 only)
1022200004,2022,season_not_in_canonical_box(2025-2026 only)
1022200005,2022,season_not_in_canonical_box(2025-2026 only)
1022200006,2022,season_not_in_canonical_box(2025-2026 only)
1022200007,2022,season_not_in_canonical_box(2025-2026 only)
1022200008,2022,season_not_in_canonical_box(2025-2026 only)
1022200009,2022,season_not_in_canonical_box(2025-2026 only)
1022200010,2022,season_not_in_canonical_box(2025-2026 only)
1022200011,2022,season_not_in_canonical_box(2025-2026 only)
1022200012,2022,season_not_in_canonical_box(2025-2026 only)
1022200013,2022,season_not_in_canonical_box(2025-2026 only)
1022200014,2022,season_not_in_canonical_box(2025-2026 only)
1022200015,2022,season_not_in_canonical_box(2025-2026 only)
1022200016,2022,season_not_in_canonical_box(2025-2026 only)
1022200017,2022,season_not_in_canonical_box(2025-2026 only)
1022200018,2022,season_not_in_canonical_box(2025-2026 only)
1022200019,2022,season_not_in_canonical_box(2025-2026 only)
1022200020,2022,season_not_in_canonical_box(2025-2026 only)
1022200021,2022,season_not_in_canonical_box(2025-2026 only)
1022200022,2022,season_not_in_canonical_box(2025-2026 only)
1022200023,2022,season_not_in_canonical_box(2025-2026 only)
1022200024,2022,season_not_in_canonical_box(2025-2026 only)
1022200025,2022,season_not_in_canonical_box(2025-2026 only)
1022200026,2022,season_not_in_canonical_box(2025-2026 only)
1022200027,2022,season_not_in_canonical_box(2025-2026 only)
1022200028,2022,season_not_in_canonical_box(2025-2026 only)
1022200029,2022,season_not_in_canonical_box(2025-2026 only)
1022200030,2022,season_not_in_canonical_box(2025-2026 only)
1022200031,2022,season_not_in_canonical_box(2025-2026 only)
1022200032,2022,season_not_in_canonical_box(2025-2026 only)
1022200033,2022,season_not_in_canonical_box(2025-2026 only)
1022200034,2022,season_not_in_canonical_box(2025-2026 only)
1022200035,2022,season_not_in_canonical_box(2025-2026 only)
1022200036,2022,season_not_in_canonical_box(2025-2026 only)
1022200037,2022,season_not_in_canonical_box(2025-2026 only)
1022200038,2022,season_not_in_canonical_box(2025-2026 only)
1022200039,2022,season_not_in_canonical_box(2025-2026 only)
1022200040,2022,season_not_in_canonical_box(2025-2026 only)
1022200041,2022,season_not_in_canonical_box(2025-2026 only)
1022200042,2022,season_not_in_canonical_box(2025-2026 only)
1022200043,2022,season_not_in_canonical_box(2025-2026 only)
1022200044,2022,season_not_in_canonical_box(2025-2026 only)
1022200045,2022,season_not_in_canonical_box(2025-2026 only)
1022200046,2022,season_not_in_canonical_box(2025-2026 only)
1022200047,2022,season_not_in_canonical_box(2025-2026 only)
1022200048,2022,season_not_in_canonical_box(2025-2026 only)
1022200049,2022,season_not_in_canonical_box(2025-2026 only)
1022200050,2022,season_not_in_canonical_box(2025-2026 only)
