prop,stage,selected_candidate_distribution,raw_p_ll_onesided,raw_p_brier_onesided,holm_adjusted_p_ll,holm_adjusted_p_brier,selection_contract_pass,n,n_folds,model_logloss,market_logloss,logloss_delta,model_brier,market_brier,brier_delta,model_auc,market_auc,model_ece,market_ece,calibration_intercept,calibration_slope,model_crps_active_pmf,model_full_pmf_logscore,worst_fold_logloss_delta,monotone,candidate_id,advances
reb,SELECTED_outer_oof,"{""E1"": 125, ""P1"": 99, ""S2"": 328}",0.9948010397920416,0.994001199760048,1.0,1.0,False,552,14,0.7030675967684485,0.6818834058272983,0.021184190941150205,0.25436406392011807,0.24440352279477506,0.009960541125343003,0.47610061233108103,0.5911568306587838,0.05807492771442372,0.029727772170111758,-0.20663935377133816,-0.40335919302294837,1.7019911368003748,2.468517507606681,0.06651071153750987,,,
reb,CANDIDATE_P0,,,,,,,552,14,0.7182989302473455,0.6818834058272983,0.03641552442004714,0.25684261102393496,0.24440352279477506,0.0124390882291599,0.5684781461148649,0.5911568306587838,0.08016964109460309,0.029727772170111758,,,1.7019911368003748,2.468517507606681,0.17777206572493864,True,,
reb,CANDIDATE_P1,,,,,,,552,14,0.6859492230503262,0.6818834058272983,0.004065817223027901,0.24623491984276819,0.24440352279477506,0.0018313970479931219,0.5611011402027026,0.5911568306587838,0.0233134149217855,0.029727772170111758,,,1.7019911368003748,2.468517507606681,0.04283175415553098,True,,
reb,CANDIDATE_P2,,,,,,,552,14,0.6882791293765169,0.6818834058272983,0.006395723549218579,0.24737836862940216,0.24440352279477506,0.0029748458346270934,0.5503457559121622,0.5911568306587838,0.02429680032073923,0.029727772170111758,,,1.7019911368003748,2.468517507606681,0.046689701385904336,False,,
reb,CANDIDATE_P3,,,,,,,534,13,0.7586263274066916,0.6802089402501946,0.07841738715649693,0.2504533409516893,0.24357075383559404,0.006882587116095268,0.547729680107337,0.5996751641833205,0.04387879029811735,0.03478261026713502,,,1.672924748327069,2.453637349826044,0.46597501992628854,True,,
reb,CANDIDATE_S1,,,,,,,552,14,0.7041272660032847,0.6818834058272983,0.02224386017598634,0.25454390992606246,0.24440352279477506,0.010140387131287398,0.5409760346283784,0.5911568306587838,0.08393410398115234,0.029727772170111758,,,1.7019911368003748,2.468517507606681,0.06820812762408646,True,,
reb,CANDIDATE_S2,,,,,,,552,14,0.6883869912927726,0.6818834058272983,0.006503585465474249,0.24764285978694164,0.24440352279477506,0.0032393369921665804,0.5335198479729729,0.5911568306587838,0.02099513237259053,0.029727772170111758,,,1.7019911368003748,2.468517507606681,0.025661202562981766,True,,
reb,CANDIDATE_S3,,,,,,,552,14,0.6892212302814635,0.6818834058272983,0.007337824454165198,0.24805972788412053,0.24440352279477506,0.003656205089345471,0.5317778716216215,0.5911568306587838,0.016757442247797676,0.029727772170111758,,,1.7019911368003748,2.468517507606681,0.026534064318476713,False,,
reb,CANDIDATE_E1,,,,,,,552,14,0.6859232446884866,0.6818834058272983,0.004039838861188305,0.24623422857173421,0.24440352279477506,0.0018307057769591517,0.5599926097972974,0.5911568306587838,0.01705583453124594,0.029727772170111758,,,1.7019911368003748,2.468517507606681,0.03906208211077422,True,,
reb,STRUCTURAL_repair_platt,,,,,,,552,14,0.6883869912927726,0.6818834058272983,0.006503585465474249,0.24764285978694164,0.24440352279477506,0.0032393369921665804,0.5335198479729729,0.5911568306587838,0.02099513237259053,0.029727772170111758,,,1.6616301587271243,,0.025661202562981766,True,S_reb_oreb_dreb_opportunity,False
ast,SELECTED_outer_oof,"{""P0"": 13, ""P1"": 365, ""P2"": 20}",0.36992601479704057,0.3675264947010598,1.0,1.0,False,398,14,0.686768598880471,0.690334361848296,-0.003565762967824959,0.24694983912721474,0.2486092674050736,-0.0016594282778588654,0.5074477886977886,0.5397087428337428,0.014784263646280701,0.05808801790498932,-0.1421521243607718,0.4101551036720304,1.318166458590115,2.3196221663724907,0.062407351906061614,,,
ast,CANDIDATE_P0,,,,,,,398,14,0.729201740318391,0.690334361848296,0.038867378470095026,0.256123007871114,0.2486092674050736,0.007513740466040364,0.552006552006552,0.5397087428337428,0.10017103464658722,0.05808801790498932,,,1.318166458590115,2.3196221663724907,0.31048492184910914,True,,
ast,CANDIDATE_P1,,,,,,,398,14,0.6869531148496041,0.690334361848296,-0.0033812469986919114,0.24691509894232774,0.2486092674050736,-0.0016941684627458653,0.4963144963144963,0.5397087428337428,0.010869189795611151,0.05808801790498932,,,1.318166458590115,2.3196221663724907,0.04820524776687707,True,,
ast,CANDIDATE_P2,,,,,,,398,14,0.6869230556115259,0.690334361848296,-0.0034113062367701064,0.24680470751379519,0.2486092674050736,-0.0018045598912784233,0.5344236281736282,0.5397087428337428,0.021805045654887372,0.05808801790498932,,,1.318166458590115,2.3196221663724907,0.06811349398588773,False,,
ast,CANDIDATE_P3,,,,,,,311,10,0.7358212582628033,0.6907006015443402,0.045120656718463104,0.25139224755869566,0.2487949308496066,0.0025973167090890537,0.5295117040020135,0.5373772967530832,0.021547577080396133,0.06507597939653767,,,1.3351484092859485,2.3011340523382335,0.3039702213341515,True,,
fg3m,SELECTED_outer_oof,"{""E1"": 172, ""P1"": 109, ""S1"": 11, ""S2"": 86}",0.9968006398720256,0.99500099980004,1.0,1.0,False,378,14,0.696605999421192,0.6610541760138181,0.03555182340737384,0.25118274186262785,0.23446165328978272,0.016721088572845128,0.5078337104072398,0.6329044117647059,0.03268303222999505,0.029281005611023217,-0.18039404608834655,0.06370180289249205,0.8358890668334564,1.7470079336627136,0.1559414322113175,,,
fg3m,CANDIDATE_P0,,,,,,,378,14,0.7175035067274352,0.6610541760138181,0.05644933071361713,0.25428388460332585,0.23446165328978272,0.01982223131354313,0.5885463800904978,0.6329044117647059,0.1179536421423392,0.029281005611023217,,,0.8358890668334564,1.7470079336627136,0.24678999264161372,True,,
fg3m,CANDIDATE_P1,,,,,,,378,14,0.6850985110863013,0.6610541760138181,0.02404433507248316,0.24594378085779892,0.23446165328978272,0.011482127568016198,0.5623585972850679,0.6329044117647059,0.03228635346173405,0.029281005611023217,,,0.8358890668334564,1.7470079336627136,0.13712109974818654,True,,
fg3m,CANDIDATE_P2,,,,,,,378,14,0.6853220250753573,0.6610541760138181,0.024267849061539226,0.2460690949748384,0.23446165328978272,0.011607441685055675,0.5637443438914027,0.6329044117647059,0.03263331054037304,0.029281005611023217,,,0.8358890668334564,1.7470079336627136,0.13993265487133533,True,,
fg3m,CANDIDATE_P3,,,,,,,292,10,0.723586099456388,0.6514134968839173,0.07217260257247071,0.24563832761044713,0.22983791159698816,0.015800416013458968,0.5604277820121951,0.6569645579268293,0.037864017717846456,0.04802953404097904,,,0.83713633507956,1.724904833580254,0.3252331216309967,True,,
fg3m,CANDIDATE_S1,,,,,,,378,14,0.6979523581578633,0.6610541760138181,0.036898182144045166,0.2488510865860453,0.23446165328978272,0.014389433296262577,0.5903280542986425,0.6329044117647059,0.07171973455665824,0.029281005611023217,,,0.8358890668334564,1.7470079336627136,0.17876629877107675,True,,
fg3m,CANDIDATE_S2,,,,,,,378,14,0.6833217863885492,0.6610541760138181,0.022267610374731128,0.24493845368976536,0.23446165328978272,0.010476800399982639,0.5715214932126697,0.6329044117647059,0.03248864538084843,0.029281005611023217,,,0.8358890668334564,1.7470079336627136,0.11344128073004756,True,,
fg3m,CANDIDATE_S3,,,,,,,378,14,0.6838320705169196,0.6610541760138181,0.022777894503101526,0.2451493373417837,0.23446165328978272,0.01068768405200099,0.5737556561085974,0.6329044117647059,0.043305896059026155,0.029281005611023217,,,0.8358890668334564,1.7470079336627136,0.11214212584373984,False,,
fg3m,CANDIDATE_E1,,,,,,,378,14,0.6827879077051885,0.6610541760138181,0.021733731691370384,0.2447285978382596,0.23446165328978272,0.010266944548476875,0.5823529411764705,0.6329044117647059,0.04843926672568344,0.029281005611023217,,,0.8358890668334564,1.7470079336627136,0.12072885874039085,True,,
fg3m,STRUCTURAL_repair_platt,,,,,,,378,14,0.6833217863885492,0.6610541760138181,0.022267610374731128,0.24493845368976536,0.23446165328978272,0.010476800399982639,0.5715214932126697,0.6329044117647059,0.03248864538084843,0.029281005611023217,,,0.7678078282463153,,0.11344128073004756,True,S_fg3m_3pa_hurdle_shrunk_conversion,False
