game_id,player_id,stat,line,status,vendor
24969,408,ast,4.5,UNKNOWN,draftkings
24970,462,reb,3.5,UNKNOWN,betonlineag
24969,437,pts_reb,11.5,UNKNOWN,fanduel
24969,570,reb_ast,10.5,UNKNOWN,fanduel
24970,462,pts_reb,25.5,UNKNOWN,fanduel
24970,462,pts,21.5,UNKNOWN,fanduel
24969,409,pts_ast,8.5,UNKNOWN,draftkings
24969,726,reb,7.5,UNKNOWN,draftkings
24969,408,reb_ast,7.5,UNKNOWN,draftkings
24969,437,pts,8.5,UNKNOWN,fanduel
24970,424,reb,2.5,UNKNOWN,fanduel
24970,465,reb,8.5,UNKNOWN,betonlineag
24969,645,pts_reb,15.5,UNKNOWN,draftkings
24969,535,reb_ast,13.5,UNKNOWN,fanduel
24970,462,reb_ast,5.5,UNKNOWN,draftkings
24970,765,pts_ast,10.5,UNKNOWN,draftkings
24970,591,reb_ast,9.5,UNKNOWN,draftkings
24969,409,reb_ast,5.5,UNKNOWN,draftkings
24969,570,reb,3.5,UNKNOWN,betonlineag
24970,66925,ast,2.5,UNKNOWN,betonlineag
24969,410,reb,2.5,UNKNOWN,draftkings
24969,408,reb,2.5,UNKNOWN,draftkings
24969,437,fg3m,1.5,UNKNOWN,betonlineag
24970,462,fg3m,1.5,UNKNOWN,draftkings
24969,535,fg3m,0.5,UNKNOWN,betonlineag
24970,468,fg3m,0.5,UNKNOWN,betonlineag
