stat,family,mean,variance,stored_mass,overflow,normalization_error,support_max
pts,mixture,2.8417037170807538,6.830812195007294,0.9999999999994902,5.098441308573569e-13,0.0,80
pts,mixture,5.837422823350718,18.94777650776593,0.9999999968474534,3.1525464508668873e-09,1.1102230246251565e-16,80
pts,mixture,2.9746485806770715,7.572325329716481,0.9999999999952319,4.768179223017721e-12,0.0,80
pts,mixture,5.5016939229645505,22.012997741824023,0.9999999386141776,6.138582304129931e-08,6.661338147750939e-16,80
pts,mixture,7.850206376785845,23.27268385583166,0.9999999998848377,1.1516278187324996e-10,4.440892098500626e-16,80
pts,mixture,13.801545949679047,38.85231740590652,0.9999999966024461,3.397554241317702e-09,4.440892098500626e-16,80
pts,mixture,9.447877198199803,25.466992205360626,0.9999999990806082,9.193919990578953e-10,2.220446049250313e-16,80
pts,mixture,3.868256687209524,10.416486879253485,0.9999999999763683,2.363159912574074e-11,0.0,80
pts,mixture,4.561920029928143,11.63080376523828,0.9999999999978972,2.1028670587706007e-12,0.0,80
pts,mixture,10.144720606494491,26.41207133423042,0.9999999997840726,2.159275109949405e-10,2.220446049250313e-16,80
pts,mixture,4.828660533231852,13.210195173852352,0.9999999999727897,2.721072356377522e-11,4.440892098500626e-16,80
pts,mixture,19.111461280981057,53.748346719820006,0.9999998305077736,1.6949222503120603e-07,1.3322676295501878e-15,80
pts,mixture,18.074831054465296,49.35137982333606,0.9999999367632868,6.323671232572235e-08,8.881784197001252e-16,80
pts,mixture,5.024623725289564,13.581782141818078,0.9999999999842417,1.5758157339335632e-11,1.1102230246251565e-16,80
pts,mixture,1.3471684799488197,3.194074295667252,0.999999999987221,1.2779071091456527e-11,0.0,80
pts,mixture,4.270170505914692,12.03183975879022,0.9999999999092509,9.074902275901714e-11,0.0,80
pts,mixture,10.551670937224117,25.241852043738817,0.9999999999945838,5.4163385038064964e-12,2.220446049250313e-16,80
pts,mixture,8.624436339299622,28.487476788922137,0.9999999968262602,3.173740100763365e-09,2.220446049250313e-16,80
pts,mixture,10.971999849767409,28.70264021655977,0.9999999997792315,2.207687562534928e-10,2.220446049250313e-16,80
pts,mixture,2.33907883356242,7.885128636673555,0.9999999624083377,3.7591662854987164e-08,4.440892098500626e-16,80
pts,mixture,10.284531587162233,26.008825310978125,0.9999999999387583,6.124170236741852e-11,0.0,80
pts,mixture,9.957641547486256,25.66426624269093,0.9999999998508737,1.491265391361279e-10,2.220446049250313e-16,80
pts,mixture,13.757252239050311,32.40041448566723,0.9999999997844413,2.15557746045009e-10,8.881784197001252e-16,80
pts,mixture,12.107201418875416,33.03542942175875,0.9999999990165114,9.834887758505721e-10,2.220446049250313e-16,80
