game_id,player_id,player_name,stat,book,market_key,period,line,raw_over_odds,raw_under_odds,no_vig_market_prob_over,no_vig_market_prob_under,p_over_win,p_under_win,p_push,p_over_settled,p_under_settled,frozen_model_probability_over,delivered_model_prob_over_final,reproduces_delivered_model_price,model_minus_market_over,pmf_hash,registry_pmf_hash,quote_hash,prediction_timestamp,quote_timestamp,pmf_column_used,audit_label
24970,373,Alyssa Thomas,pts_ast,draftkings,player_points_assists,game,24.5,-108.0,-125.0,0.48310139165009935,0.5168986083499006,0.12414722,0.8758527700000001,0.0,0.1241472212414722,0.8758527787585277,0.1241472212414722,0.12414722124147222,True,-0.35895417040862715,bd4d0921babd9fdef186282365fda0738f0063e206d03aac7c48eff33b4750fe,bd4d0921babd9fdef186282365fda0738f0063e206d03aac7c48eff33b4750fe,cae98d2b0beedcf89eaae12e23c7bd1b0dc69540284f0b16ae316f0a3d01d44a,20260801T162447Z,2026-08-01T16:26:45Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24970,633,Natasha Mack,reb,betonlineag,player_rebounds,game,5.5,-108.0,-120.0,0.48768472906403937,0.5123152709359606,0.2536058,0.74639419,0.0,0.253605802536058,0.746394197463942,0.253605802536058,0.253605802536058,True,-0.23407892652798135,4feb65a698b4c359ebf55f5c38f7d03b85012c7b090301da5f61f944ed31e898,4feb65a698b4c359ebf55f5c38f7d03b85012c7b090301da5f61f944ed31e898,2394892705966ebe8c18e122e6d5468677b4680537b3cf46b5cd96a102edd19d,20260801T162447Z,2026-08-01T16:26:51Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24970,373,Alyssa Thomas,pts_reb_ast,draftkings,player_points_rebounds_assists,game,32.5,-108.0,-126.0,0.4822190611664295,0.5177809388335705,0.045253,0.95474699,0.0,0.04525300045253001,0.95474699954747,0.04525300045253001,0.045253000452529994,True,-0.4369660607138995,bd4d0921babd9fdef186282365fda0738f0063e206d03aac7c48eff33b4750fe,bd4d0921babd9fdef186282365fda0738f0063e206d03aac7c48eff33b4750fe,dd67f247d06fc66c1c4edc2249b8cab8ef7e7fea99223e5855cdeb7f40159e74,20260801T162447Z,2026-08-01T16:26:45Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24970,468,Breanna Stewart,pts_reb,fanduel,player_points_rebounds,game,30.5,-108.0,-122.0,0.48581617766250607,0.5141838223374939,0.20237356,0.79762641,0.0,0.202373566071207,0.7976264339287931,0.202373566071207,0.20237356607120702,True,-0.2834426115912991,9dfa375e88921ca084f794cf2e3f31299a0a0cbd0a38245a91258c1a2eb1145b,9dfa375e88921ca084f794cf2e3f31299a0a0cbd0a38245a91258c1a2eb1145b,20d91986cf05251c2317bdae315464692a746900e4efb33ac5b00eb91bd79db8,20260801T162447Z,2026-08-01T16:25:57Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24970,66925,Pauline Astier,pts,betonlineag,player_points,game,8.5,-109.0,-119.0,0.48974190636412124,0.5102580936358786,0.4540747,0.54592531,0.0,0.45407469545925305,0.545925304540747,0.45407469545925305,0.45407469545925305,True,-0.035667210904868185,7927e655b913d735f9448b75574b90ac600a1558cb2375c81e7922b997c99842,7927e655b913d735f9448b75574b90ac600a1558cb2375c81e7922b997c99842,5cac4f8526bd6edde8e4ad66cd7beff5679612b550c2865e724de51d36bcf69a,20260801T162447Z,2026-08-01T16:26:51Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24970,633,Natasha Mack,pts,betonlineag,player_points,game,6.5,-109.0,-119.0,0.48974190636412124,0.5102580936358786,0.33777826,0.66222177,0.0,0.3377782498666525,0.6622217501333475,0.3377782498666525,0.3377782498666526,True,-0.15196365649746874,8b158c73eedb8b2db6564d04d8b3222a5e8476ef5a3c515c78e8dbf60a6e991c,8b158c73eedb8b2db6564d04d8b3222a5e8476ef5a3c515c78e8dbf60a6e991c,18c2e117973fb7e386baa07656ac839a292ef24ed4cb7a192399fa107135e880,20260801T162447Z,2026-08-01T16:26:51Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,535,A'ja Wilson,pts_reb,draftkings,player_points_rebounds,game,37.5,-110.0,-123.0,0.4870929308975378,0.5129070691024623,0.27022151,0.72977848,0.0,0.2702215127022151,0.7297784872977848,0.2702215127022151,0.27022151270221506,True,-0.21687141819532268,44d06b61ff09a7b8620f399c65e051bde85d56d6221c2ab5599708b588828dcc,44d06b61ff09a7b8620f399c65e051bde85d56d6221c2ab5599708b588828dcc,6abf88db010526e7c8bc1c6fb76b2c2ce52991ede909304f35ef814c8d909c1e,20260801T162447Z,2026-08-01T16:26:33Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,285,Courtney Vandersloot,pts_reb,draftkings,player_points_rebounds,game,11.5,-110.0,-124.0,0.4861878453038673,0.5138121546961325,0.21702355,0.78297645,0.0,0.21702355,0.78297645,0.21702355,0.21702355,True,-0.2691642953038673,588d86a517fc1fc3eb627436720532a48db2f056965bdc92eb87ea21b9dcb9f7,588d86a517fc1fc3eb627436720532a48db2f056965bdc92eb87ea21b9dcb9f7,fda8be2e8ad277606f033aa5e49f49c25483d5d82a45a0f9d0a668c00f3d008c,20260801T162447Z,2026-08-01T16:26:33Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,408,Natasha Cloud,pts_reb,draftkings,player_points_rebounds,game,13.5,-110.0,-123.0,0.4870929308975378,0.5129070691024623,0.32706102,0.67293899,0.0,0.3270610167293898,0.6729389832706102,0.3270610167293898,0.3270610167293898,True,-0.160031914168148,e59e863ec0857360eb35453101af2e94d6d07b5083a788135f31c61dace601b1,e59e863ec0857360eb35453101af2e94d6d07b5083a788135f31c61dace601b1,b8c7ed7037092b93394b1ba19a10bb52a6159b867b2bc0e8c78bad1c4b2b607d,20260801T162447Z,2026-08-01T16:26:33Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24970,465,Jonquel Jones,reb_ast,draftkings,player_rebounds_assists,game,11.5,-110.0,-123.0,0.4870929308975378,0.5129070691024623,0.49435446,0.50564552,0.0,0.4943544698870894,0.5056455301129106,0.4943544698870894,0.4943544698870894,True,0.007261538989551619,df33437e00e493b9c5a949cec731f786ef7e2797c7749968b7e5512fcfa48758,df33437e00e493b9c5a949cec731f786ef7e2797c7749968b7e5512fcfa48758,ef0818f3c82385ab2ba17d3a5edb3420875d321dcc938d6e0b0f4fc7fec1c0d5,20260801T162447Z,2026-08-01T16:26:45Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
